model,MAE,RMSE,R2,best_params
LinearRegression,2356.7020514293595,4379.237219042721,0.6164988561339868,default
Ridge,2355.6055379229288,4368.33548026883,0.6184058664974392,{'alpha': 0.1}
RandomForest,2432.227579753116,4421.761931245064,0.6090146957887099,"{'max_depth': 20, 'n_estimators': 50}"
XGBoost,2176.93212890625,4146.626098408198,0.6561575531959534,"{'learning_rate': 0.1, 'max_depth': 9, 'n_estimators': 300}"
LightGBM,2197.3831485495543,4184.839075956508,0.6497910458805404,"{'learning_rate': 0.05, 'n_estimators': 300, 'num_leaves': 63}"
CatBoost,2444.0847106675647,4328.303548337532,0.6253677654439793,"{'depth': 8, 'iterations': 300, 'learning_rate': 0.1}"
